,Players,Player_ID,yr1_FG_zscore,yr1_FGA_zscore,yr1_FG%_zscore,yr1_3P_zscore,yr1_3PA_zscore,yr1_3P%_zscore,yr1_2P_zscore,yr1_2PA_zscore,yr1_2P%_zscore,yr1_eFG%_zscore,yr1_FT_zscore,yr1_FTA_zscore,yr1_FT%_zscore,yr1_ORB_zscore,yr1_DRB_zscore,yr1_TRB_zscore,yr1_AST_zscore,yr1_STL_zscore,yr1_BLK_zscore,yr1_TOV_zscore,yr1_PF_zscore,Year1,yr2_FG_zscore,yr2_FGA_zscore,yr2_FG%_zscore,yr2_3P_zscore,yr2_3PA_zscore,yr2_3P%_zscore,yr2_2P_zscore,yr2_2PA_zscore,yr2_2P%_zscore,yr2_eFG%_zscore,yr2_FT_zscore,yr2_FTA_zscore,yr2_FT%_zscore,yr2_ORB_zscore,yr2_DRB_zscore,yr2_TRB_zscore,yr2_AST_zscore,yr2_STL_zscore,yr2_BLK_zscore,yr2_TOV_zscore,yr2_PF_zscore,Year2,Is_Allstar
622,kareemrush,rushka01,-0.9479092089733953,-0.8975832247999215,-0.9635147373244038,-0.4241428389026392,-0.33591934723638067,0.2281062336212771,-0.9369032387476417,-0.9328900984808917,-0.4181984633980819,-0.8048937201641536,-1.0164887808046899,-1.05635955259892,-0.43581928413179294,-0.9662907182665498,-1.0871367099318312,-1.0981744108382432,-0.6509666102255487,-1.2936461678089322,-0.598694748394133,-0.6489555024546064,-1.3523628397509222,2002-03,-0.36658764294338586,-0.3715404521256152,0.04665277511067336,0.22886664855216818,0.2435964696346373,0.6738554417300473,-0.4871607531727028,-0.5529331574779713,0.6268526652882163,0.6131272060978231,-0.9345203767578683,-0.8902135435312077,-1.4823505351448552,-0.9930483670009442,-0.9792499830116657,-1.026288019386211,-0.698771862619707,-0.69165786191649,-0.3611020464143908,-0.8637054885280452,-0.6882038888091213,2003-04,0
623,bryonrussell,russebr01,-0.8794952749901744,-0.93853074403432,0.42023057113083084,-0.6232902507497805,-0.5150127580439805,-0.721130502062199,-0.7977695247226234,-0.888298362485206,0.865128430283609,0.12445770226309874,-0.7828604674957208,-0.6758464307197369,-1.265396625049924,-0.5103416838304701,-0.6113292499040311,-0.5921091368407904,-0.7814281856381776,0.06777858972930156,-0.41145199075999106,-0.8923681140472043,-0.3290861599605853,1993-94,-0.9427791903807391,-0.9337441624095856,-0.522279768195808,-0.511987549862432,-0.48369052253470324,0.20229026806850792,-0.8760490072092989,-0.8898759835859028,-0.3284122154823954,-0.6308497893225368,-0.7068683625368526,-0.6719469880256828,-0.5314774911048243,-0.6644692382233905,-0.7301989599987366,-0.7282004896330055,-0.8431773934171812,-0.2552400047520641,-0.5674745906984556,-1.0380080995627698,-0.9354629170917985,1994-95,0
624,robertsacre,sacrero01,-0.7211114510142633,-0.7816259838005364,0.37331028348912293,-0.9775101580676079,-1.0457791700433672,-1.660112984481609,-0.43863060693372435,-0.42605586452819577,-0.11644944670255153,-0.460233995011297,-0.559238319102559,-0.5171587298139774,-0.6166548384529925,0.12406474982287319,-0.3246932602160906,-0.19036735977521246,-0.7326471769374961,-0.8717178175363348,0.4607212760362683,-0.8702896586345418,-0.08804222761674878,2013-14,-0.8632183736398642,-0.8070837571072926,-0.6255984484263699,-1.0265747299461452,-1.0994044037553372,-1.9161180030169815,-0.5409967537711144,-0.37945744736555304,-1.235353721384274,-1.7378169172681852,-0.6278244454321055,-0.5947270823218594,-0.6431821579804332,0.26887263322274785,-0.5470961729566617,-0.28988131634183506,-0.6916684682467796,-0.7196511713917627,0.3290273741652799,-0.9756165348815654,-0.21927670269399016,2014-15,0
625,johnsalley,sallejo01,-0.6908079751582435,-0.8438833137275534,1.9107534363554346,-0.5402827860666899,-0.63068996243427,-1.0205068475647447,-0.6560571974513176,-0.794969510444904,1.8189342684923184,1.8228497000264368,-0.46241478067480773,-0.2827257635717473,-1.569839501412965,0.03939019103790087,-0.14339261943034967,-0.08421899067381178,-0.7596224808748616,-0.4083762653640971,1.7811424945533034,-0.6389509091651874,1.164426400327751,1986-87,-0.25169240581646973,-0.46629818455691685,2.095878577850799,-0.5238619127201838,-0.6194468969559458,-1.0231950013898636,-0.19846117681701755,-0.3909564148632675,1.923766327465118,1.9062031774866985,0.18249979940372837,0.31730122349723006,-0.5313730734794757,0.8312219883768004,0.1539333688262612,0.3949787625547865,-0.4193261727898814,-0.20100256242722817,2.1486678972715128,0.018141822375287556,1.755457049623372,1987-88,0
626,johnsalmons,salmojo01,-1.2214752367538926,-1.2283197277765197,-0.527808438825578,-0.6200298605537266,-0.6346063182366717,0.4944079918620195,-1.1857515450665386,-1.21053048963876,-0.22403489110611455,-0.2661798865207343,-0.9317247825122769,-0.9750025047942102,0.03835002752487802,-1.1256536023447627,-1.2660137553377648,-1.2789874706569127,-0.8021802963277183,-1.1055671350240361,-0.7182650732558469,-1.1910975697123216,-1.6381636114842395,2002-03,-0.5443847638865159,-0.41558101200041814,-1.098134552605075,0.27141237168045584,0.31356100187963964,0.6255932311526149,-0.7012162356273752,-0.6360476976888246,-0.8989397933869441,-0.4631313952743987,-0.5563496293447515,-0.5943644794484311,0.32280928710858836,-0.7195015345078081,-0.3974283657972338,-0.5224921736400125,-0.1380434771366787,0.157741697434293,-0.4511658093590278,-0.3892598217402685,-0.472467134187349,2003-04,0
627,larrysanders,sandela01,-0.8658216416572361,-0.8512736996151672,-0.4535528949877389,-0.9398516824288929,-0.9863790986350317,-1.4977364808874802,-0.6351490239364538,-0.5577529552586198,-0.8572965955621992,-1.3497771551145885,-0.8904276510459577,-0.8399629172007593,-1.62472192739782,-0.2482277101286318,-0.6655925426323479,-0.5581201509178585,-0.9025436412512662,-0.8950341875381264,1.1178589721781373,-0.9161772858582449,-0.41620172804771743,2010-11,0.3387877347878339,0.1468110915323046,0.9292735768832355,-0.9305890899414829,-0.9804032457058823,-1.5657672521245722,0.7087069632405161,0.6395075870196025,0.541948997676027,0.2028642447836108,-0.3031046285479897,-0.11786848157944686,-0.9983888751856077,2.26583378338747,1.7483764514285773,2.0103428473136886,-0.4837845526698118,0.007313491126931836,4.516329459505386,-0.12045221487327434,1.8160901232883644,2012-13,0
628,brianscalabrine,scalabr01,-1.107489391845352,-1.091374144512772,-0.7767834665391916,-0.5329689620421322,-0.5700253515339061,0.7122912486044454,-1.0836599322177602,-1.0732357907145393,-0.9143942592553277,-0.546311080015313,-0.8978191831953116,-0.9682227508104845,0.9463338158036085,-0.7431826805570514,-0.8510190099959988,-0.8553683019388871,-0.8093809480468691,-1.1324355682790213,-0.43129629358773347,-0.920026536083464,-1.2570959158398163,2002-03,-1.0042049042566796,-0.9605829404511048,-0.9469362263029961,-0.5795020908852975,-0.5104657112281661,0.046446704223422744,-0.9428917803342635,-0.9419092056647648,-0.55018723140405,-1.1357930211320368,-0.6792551222540144,-0.7570814646939583,0.9074349113611244,-0.6587133495093335,-0.5913689048687111,-0.6395356529547859,-0.6539135917810648,-1.0431335416478487,-0.4961976908313463,-0.9618666609668955,-0.6218233489254991,2003-04,0
629,detlefschrempf,schrede01,-0.8839324757876141,-0.8485013383541514,-0.6392940966709528,-0.2833023631790785,-0.46586662122959244,1.6446099204079556,-0.8722037066613753,-0.8206140764196336,-0.8241851635436522,-0.669820115294758,-0.455807856395023,-0.43731722267447115,-0.135650054856144,-0.43351508386569165,-0.5584804681401125,-0.5327423322621684,-0.5931530224800283,-0.9530028360778577,-0.5372426214749807,-0.6125929793954615,-0.19017869008606839,1984-85,-0.19441558258797761,-0.17708832190127596,0.023112294589810296,1.1871030971974421,0.6704598232421418,2.0949963245453276,-0.31214757763436746,-0.2744124574781544,-0.19390525692418076,0.5088520364031387,0.2064383634751655,0.2648005786298743,-0.06478556321002131,-0.22727791643107348,0.03609954444284394,-0.05362039544630229,-0.13728584291333745,-0.26847127521473113,-0.5005948717235583,-0.11765964128957236,0.7145982780593966,1986-87,1
630,dennisschröder,schrode01,-1.1635408482280072,-1.1089398756065465,-1.207872719621324,-0.7933384557432789,-0.7465327459128654,-0.19075512876936554,-1.0057692334577863,-0.9697540200082067,-1.0368658734395166,-1.754832787263806,-0.8877177675375966,-0.899422685631047,-0.6833217316636339,-1.0665770584262313,-1.1721998560599685,-1.1939025247494535,-0.42399677661105917,-1.085889867534486,-0.9563536935402674,-0.5825194217408817,-1.5210198288030907,2013-14,0.2459661899283328,0.3718701017872437,-0.3814964897315763,-0.002251260372688907,0.0016478332799166981,0.5210122181373785,0.26841485105641893,0.43325882657868076,-0.5917008706444216,-0.6476798487837118,0.37240489717545316,0.24446595362274282,0.7707464898325735,-0.6707721159331359,-0.616921258845138,-0.6648081474073514,1.297667495691046,-0.05987368483451497,-0.8126156500736808,1.084781482467424,-0.09967122849726825,2014-15,0
631,luisscola,scolalu01,0.4189608903757875,0.20757051708574142,1.092911312867591,-0.8926785566894057,-0.9334780420474096,-1.5248174592527062,0.7773295828664382,0.6771872622656555,0.7568283754703403,0.4709474144136175,0.15524616954901632,0.3498270882414722,-0.7290245278389277,1.4247093520832184,0.8784387893491361,1.095424535737647,-0.35556827579607747,0.21128984328964537,-0.3816839108642826,0.11812295686480458,1.4572701338685277,2007-08,0.927001357480913,0.6107644855078351,1.2874535231868547,-0.9426834483845005,-0.9779777252358246,-1.564969157761064,1.345255775231944,1.1545601244761448,1.0257130506860173,0.7068891711973632,0.4883158417462992,0.5390820070931068,0.03837843014220107,1.9793468111566481,2.2426459023824603,2.276808099960718,-0.20378317536769194,0.481807439866997,-0.6517198174058464,0.4573891235051936,1.9833306497522487,2008-09,0
