Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
72,NBA,1,6,ORL,Mohamed Bamba,20.045,C,us,Texas,2019,2021,2018,149,14.9,6.2,4.9,0.7,0.3,1.3,0.476,0.549,0.341,0.632,5.6,0.122
73,NBA,1,7,CHI,Wendell Carter,19.071,C,us,Duke,2019,2021,2018,137,26.6,11.1,8.2,1.7,0.7,1,0.511,0.538,0.245,0.749,8.5,0.112
74,NBA,1,8,CLE,Collin Sexton,19.173,G,us,Alabama,2019,2021,2018,199,33.2,20.1,3,3.3,0.8,0.1,0.46,0.483,0.388,0.832,5.2,0.038
75,NBA,1,9,NYK,Kevin Knox,18.319,F,us,Kentucky,2019,2021,2018,180,21,8.6,3.2,0.9,0.4,0.3,0.369,0.389,0.344,0.703,-0.6,-0.007
76,NBA,1,10,PHI,Mikal Bridges,21.3,G,us,Villanova,2019,2021,2018,219,29.9,10,3.8,2,1.4,0.6,0.491,0.605,0.367,0.823,14.7,0.108
77,NBA,1,11,CHO,Shai Gilgeous-Alexander,19.349,G,ca,Kentucky,2019,2021,2018,187,30.9,16.3,4.3,3.8,1.1,0.6,0.482,0.517,0.373,0.805,13.1,0.108
78,NBA,1,12,LAC,Miles Bridges,20.097,G-F,us,Michigan State,2019,2021,2018,209,26.6,10.7,5.1,1.7,0.7,0.7,0.461,0.536,0.355,0.814,8.7,0.075
79,NBA,1,13,LAC,Jerome Robinson,21.124,G,us,Boston College,2019,2021,2018,113,14.2,4.5,1.8,1.2,0.5,0.2,0.363,0.414,0.31,0.721,-0.1,-0.003
80,NBA,1,14,DEN,Michael Porter,19.362,F,us,Missouri,2020,2021,2018,109,23.9,14,6.1,1,0.5,0.7,0.531,0.602,0.437,0.8,9.1,0.168
81,NBA,1,15,WAS,Troy Brown,18.333,G-F,us,Oregon,2019,2021,2018,155,19.6,7.3,4.1,1.9,0.7,0.1,0.432,0.479,0.33,0.754,3.5,0.055
82,NBA,1,17,MIL,Donte DiVincenzo,21.146,G,us,Villanova,2019,2021,2018,152,23.3,8.8,4.7,2.4,1.1,0.3,0.429,0.527,0.344,0.735,7.8,0.106
83,NBA,1,18,SAS,Lonnie Walker,19.194,G,us,Miami (FL),2019,2021,2018,129,18.5,7.8,2.2,1.2,0.5,0.2,0.421,0.447,0.379,0.77,1,0.019
84,NBA,1,19,ATL,Kevin Huerter,19.303,G,us,Maryland,2019,2021,2018,194,29.8,11.2,3.5,3.3,1,0.4,0.423,0.477,0.377,0.786,6.4,0.053
85,NBA,1,20,MIN,Josh Okogie,19.298,G,ng,Georgia Tech,2019,2021,2018,188,23.4,7.4,3.3,1.3,1.1,0.4,0.403,0.493,0.274,0.775,4.6,0.05
86,NBA,1,21,UTA,Grayson Allen,22.262,G,us,Duke,2019,2021,2018,124,19,8.6,2.1,1.5,0.5,0.1,0.426,0.491,0.384,0.828,3.9,0.079
87,NBA,1,22,CHI,Chandler Hutchison,22.061,G,us,Boise State,2019,2021,2018,89,18.6,5.8,3.9,0.8,0.6,0.2,0.444,0.489,0.291,0.62,1,0.028
88,NBA,1,23,IND,Aaron Holiday,21.269,G,us,UCLA,2019,2021,2018,177,18.7,7.6,1.7,2.4,0.7,0.2,0.402,0.424,0.373,0.835,3.2,0.046
89,NBA,1,24,POR,Anfernee Simons,19.018,G,us,,2019,2021,2018,146,17.3,7.6,1.9,1.3,0.3,0.1,0.412,0.441,0.387,0.786,2,0.038
90,NBA,1,25,LAL,Moritz Wagner,21.061,F-C,de,Michigan,2019,2021,2018,125,14.3,6.6,3.3,1,0.5,0.4,0.487,0.587,0.307,0.811,2.9,0.078
91,NBA,1,26,PHI,Landry Shamet,21.105,G,us,Wichita State,2019,2021,2018,186,24.1,9.3,1.8,1.6,0.5,0.2,0.419,0.471,0.399,0.838,7.9,0.085
92,NBA,1,27,BOS,Robert Williams,20.252,C-F,us,Texas A&M,2019,2021,2018,111,14.6,5.7,5,1.1,0.7,1.5,0.718,0.722,0,0.633,8.4,0.248
93,NBA,1,28,GSW,Jacob Evans,21.008,G-F,us,Cincinnati,2019,2020,2018,59,10.5,2.8,1.1,0.9,0.3,0.3,0.337,0.346,0.315,0.833,-0.6,-0.047
94,NBA,1,29,BRK,Džanan Musa,19.049,G-F,ba,,2019,2020,2018,49,10.7,4.3,1.9,0.9,0.3,0,0.376,0.5,0.227,0.726,0,0.003
95,NBA,1,30,ATL,Omari Spellman,20.34,F,us,Villanova,2019,2020,2018,95,17.8,6.8,4.3,1,0.6,0.5,0.417,0.458,0.366,0.766,2.4,0.068
96,NBA,2,31,PHO,Élie Okobo,20.246,G,fr,,2019,2020,2018,108,15.5,4.8,1.7,2.2,0.5,0.1,0.395,0.455,0.315,0.737,0.5,0.014
97,NBA,2,32,MEM,Jevon Carter,22.286,G,us,West Virginia,2019,2021,2018,149,14.2,4.4,1.8,1.4,0.7,0.2,0.381,0.385,0.378,0.8,3.1,0.071
98,NBA,2,33,DAL,Jalen Brunson,21.299,G,us,Villanova,2019,2021,2018,190,21.7,10,2.7,3.3,0.5,0,0.486,0.542,0.364,0.772,9,0.104
99,NBA,2,34,ATL,Devonte' Graham,23.125,G,us,Kansas,2019,2021,2018,160,27.6,13.1,2.6,5.4,0.8,0.1,0.375,0.394,0.363,0.814,6.8,0.074
100,NBA,2,36,NYK,Mitchell Robinson,20.086,C,us,,2019,2021,2018,158,22.9,8.4,7,0.6,0.9,2.1,0.705,0.705,,0.568,16.3,0.216
101,NBA,2,37,SAC,Gary Trent,19.159,G,us,Duke,2019,2021,2018,131,24,10.8,1.9,1.1,0.8,0.2,0.422,0.456,0.395,0.776,4,0.061
102,NBA,2,39,PHI,Isaac Bonga,18.23,G,de,,2019,2021,2018,127,14.1,3.4,2.5,0.9,0.5,0.3,0.441,0.518,0.304,0.769,1.6,0.044
103,NBA,2,40,BRK,Rodions Kurucs,20.141,F,lv,,2019,2021,2018,131,16.1,6,3.1,0.9,0.6,0.3,0.444,0.537,0.329,0.739,2.3,0.052
104,NBA,2,41,ORL,Jarred Vanderbilt,19.084,F,us,Kentucky,2019,2021,2018,85,12.8,3.9,4.1,0.9,0.7,0.5,0.588,0.6,0.167,0.574,2.5,0.11
105,NBA,2,42,DET,Bruce Brown,21.315,G,us,Miami (FL),2019,2021,2018,190,23,7,4,2.2,0.8,0.5,0.464,0.51,0.299,0.74,7.2,0.079
106,NBA,2,45,BRK,Hamidou Diallo,19.33,G,us,Kentucky,2019,2021,2018,145,17.4,7.1,3.5,1,0.7,0.3,0.458,0.493,0.283,0.625,2.5,0.047
107,NBA,2,46,HOU,De'Anthony Melton,20.029,G,us,USC,2019,2021,2018,153,19.8,7.4,3.2,2.9,1.3,0.5,0.415,0.46,0.352,0.769,4.1,0.065
108,NBA,2,47,LAL,Sviatoslav Mykhailiuk,21.016,G-F,ua,Kansas,2019,2021,2018,159,18.3,7.1,1.8,1.5,0.6,0.1,0.397,0.463,0.364,0.768,1.7,0.028
109,NBA,2,48,MIN,Keita Bates-Diop,22.155,F,us,Ohio State,2019,2021,2018,97,14.6,5.1,2.5,0.6,0.5,0.4,0.424,0.504,0.306,0.692,1.8,0.062
110,NBA,2,49,SAS,Chimezie Metu,21.096,F,us,USC,2019,2021,2018,77,7.6,3.5,1.9,0.6,0.3,0.3,0.491,0.517,0.238,0.73,0.5,0.041
111,NBA,2,50,IND,Alize Johnson,22.065,F,us,Missouri State,2019,2021,2018,46,7.9,3,3.4,0.5,0.2,0.2,0.5,0.532,0.313,0.774,1.2,0.158
112,NBA,2,54,DAL,Shake Milton,21.273,G,us,SMU,2019,2021,2018,116,20.6,10.4,2.2,2.5,0.5,0.3,0.453,0.498,0.376,0.82,4.8,0.096
113,NBA,1,1,PHI,Markelle Fultz,19.029,G,us,Washington,2018,2021,2017,113,25.6,10.9,3.3,4.6,1.1,0.2,0.447,0.477,0.265,0.695,3.1,0.052
114,NBA,1,2,LAL,Lonzo Ball,19.243,G,us,UCLA,2018,2021,2017,212,32.1,11.6,5.8,6.4,1.5,0.6,0.398,0.458,0.352,0.554,9.2,0.065
115,NBA,1,3,BOS,Jayson Tatum,19.116,F,us,Duke,2018,2021,2017,283,32.7,19.2,6.2,2.7,1.2,0.7,0.458,0.488,0.399,0.841,25,0.13
116,NBA,1,4,PHO,Josh Jackson,20.137,F-G,us,Kansas,2018,2021,2017,236,24.5,12.3,4.2,2,0.9,0.6,0.419,0.468,0.3,0.674,-1.6,-0.013
117,NBA,1,5,SAC,De'Aaron Fox,19.189,G,us,Kentucky,2018,2021,2017,263,31.3,18.2,3.4,6.4,1.4,0.4,0.458,0.499,0.326,0.718,13.1,0.076
118,NBA,1,6,ORL,Jonathan Isaac,19.267,F,us,Florida State,2018,2020,2017,136,25.8,9.3,5.4,1.1,1.1,1.5,0.435,0.497,0.33,0.797,6.7,0.091
119,NBA,1,7,MIN,Lauri Markkanen,20.036,F-C,fi,Arizona,2018,2021,2017,213,29.8,15.7,7.2,1.3,0.6,0.5,0.438,0.508,0.363,0.847,11.1,0.084
